Seniority Level,Position,Is Job Related to Innovation,Department,Industry,Employee,Country,Tenure
,Analista Funcional,,Facilities & Real Estate,Finance & Insurance,,Colombia,Less than 1 year
,Coordinador de desarrollo,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,Analista ,,Customer Service,Finance & Insurance,,Colombia,1 to 3 years
,Analista Senior de Tecnologia ,,Facilities & Real Estate,Finance & Insurance,,Colombia,1 to 3 years
,Analista Senior de Tecnologia,,,Engineering & Manufacturing,,Colombia,Less than 1 year
,Scrum Master,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,coordinador equipos de trabajo,,,Finance & Insurance,,Colombia,More than 5 years
,Analista Funcional ,,,IT & Telecommunications,,Colombia,1 to 3 years
,Analista Senior De Tecnología,,,IT & Telecommunications,,Colombia,Less than 1 year
,Analista de Tecnologia,,Facilities & Real Estate,Finance & Insurance,,Colombia,Less than 1 year
,Auxiliar de Saes,,,Finance & Insurance,,Colombia,1 to 3 years
,Auxiliar SAEs,,,Finance & Insurance,,Colombia,Less than 1 year
,Lider equipo kanban,,Facilities & Real Estate,IT & Telecommunications,,Colombia,1 to 3 years
,Gestor de proyectos,,Facilities & Real Estate,Finance & Insurance,,Colombia,1 to 3 years
,Analista Profesional,,Facilities & Real Estate,Finance & Insurance,,Colombia,3 to 5 years
,Analista senior tecnologia I equipo DevOps,,Facilities & Real Estate,IT & Telecommunications,,Colombia,Less than 1 year
,ANALISTA SENIOR DE TECNOLOGIA,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,Analista de tecnologia,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,,,,,,,
,coordinador de desarrollo,,,,,Colombia,More than 5 years
,Scrum Master,,Quality or Process Excellence,Finance & Insurance,,Colombia,More than 5 years
,Analista de Tecnologia,,Facilities & Real Estate,Finance & Insurance,,Colombia,
,Analista Senior desarrollo,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,Coordinador Servicio Oficinas,,,Finance & Insurance,,Colombia,More than 5 years
,LSI en el cloud foundation team,,Facilities & Real Estate,Finance & Insurance,,Colombia,
,analista de desarrollo,,Facilities & Real Estate,Finance & Insurance,,Colombia,Less than 1 year
,Analista de eficiencia,,,Finance & Insurance,,Colombia,More than 5 years
,Auxiliar de Servicio,,,Finance & Insurance,,Colombia,More than 5 years
,Analista Senior,,Facilities & Real Estate,Finance & Insurance,,Colombia,3 to 5 years
,Director,,Audit & Risk Management,Finance & Insurance,,Colombia,More than 5 years
,control de licenciamiento,,Facilities & Real Estate,Engineering & Manufacturing,,Colombia,1 to 3 years
,Analista de procesos,,,Finance & Insurance,,Colombia,More than 5 years
,Analista Senior,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,Analista Senior Tecnología,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,Analista junior,,,Finance & Insurance,,Colombia,Less than 1 year
,Coordinadora de Mesa de Servicio de Tecnología.-,,,Finance & Insurance,,Colombia,More than 5 years
,analista de negocio de la celula de cartera y sobregiro,,,IT & Telecommunications,,Colombia,1 to 3 years
,Developer ,,Facilities & Real Estate,Finance & Insurance,,Colombia,1 to 3 years
,Coordianador de TI,,Facilities & Real Estate,IT & Telecommunications,,Colombia,More than 5 years
Junior Management,Consultora comercial,I support innovation projects,Corporate or Executive Management,IT & Telecommunications,,Colombia,Less than 1 year
,QA Manual ,,Facilities & Real Estate,Energy,,Colombia,3 to 5 years
,,,Facilities & Real Estate,Finance & Insurance,,Colombia,Less than 1 year
,Analista Senior de Calidad,,Facilities & Real Estate,Finance & Insurance,,Colombia,3 to 5 years
,"CO-op student, economic development",,Sales,Engineering & Manufacturing,,Canada,Less than 1 year
,analista de tecnologia,,,Finance & Insurance,,Colombia,1 to 3 years
,Coordinador de TI,,,Finance & Insurance,,Colombia,More than 5 years
,Director,,,Finance & Insurance,,Colombia,More than 5 years
,GESTOR OPERATIVO,,,Finance & Insurance,,Colombia,More than 5 years
,Desarrollador Junior ETL,,Facilities & Real Estate,Finance & Insurance,,Colombia,Less than 1 year
,Analista de tecnología,,Facilities & Real Estate,Finance & Insurance,,Colombia,1 to 3 years
,Analista Senior,,,Finance & Insurance,,Colombia,Less than 1 year
,scrum master,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,Chapter QA Lead,,Facilities & Real Estate,IT & Telecommunications,,Colombia,More than 5 years
,"Atender y ejecutar requerimientos tecnológicos de las vicepresidencias que atiende la Unidad Administrativos con el fin de mejorar tres variables importantes en los procesos: costo, tiempo y valor.",,Facilities & Real Estate,Finance & Insurance,,Colombia,1 to 3 years
,Analista Gestión del Cambio,,,Finance & Insurance,,Colombia,More than 5 years
,Soporte a usuarios de Nivel II,,Facilities & Real Estate,IT & Telecommunications,,Colombia,More than 5 years
,Gestor,,,Finance & Insurance,,Colombia,More than 5 years
,auxiliar saes,,,Finance & Insurance,,Colombia,Less than 1 year
,Gerente de Zona Barranquilla Unidad Normalización Activos,,,Finance & Insurance,,Colombia,More than 5 years
,Auxiliar,,,Finance & Insurance,,,Less than 1 year
,Analista Senior,,,IT & Telecommunications,,Colombia,More than 5 years
,Analista senior ,,,Finance & Insurance,,Colombia,More than 5 years
,"Director de Soporte a Ventas, encargado de la administración de las politicas de segmentación, encargado de la correcta administración del prespuesto de la Vp Empresarial y Pyme 2, encargado de brindar herramientas a los Gerentes de Relación Empresariales y Pymes que hagan mas facil su labor y su cumplimiento de los diferentes presupuestos, asi mismo generar seguimientos a los diferentes presupuestos que ayuden al Vicepresidente a focalizar esfuerzos para el crecimiento y cumplimientos de sus objetivos",,,Finance & Insurance,,Colombia,More than 5 years
,Analista,,,Finance & Insurance,,Colombia,More than 5 years
,Director,,,Finance & Insurance,,Colombia,More than 5 years
,analista senior,,,Finance & Insurance,,Colombia,More than 5 years
,Secretaria de Gerencia,,,Finance & Insurance,,Colombia,More than 5 years
,Analista de Selección y Desarrollo,,Product Management,Finance & Insurance,,Colombia,3 to 5 years
,Desarrollador Frontend,,Strategy,Finance & Insurance,,Colombia,Less than 1 year
,Desarrollador Edge junior,,,Finance & Insurance,,Colombia,Less than 1 year
,Especialista comercial de pasarela,,,IT & Telecommunications,,Colombia,More than 5 years
,DISEÑADOR ESTRATÉGICO,,Strategy,Finance & Insurance,,Colombia,More than 5 years
,Analista,,,Finance & Insurance,,Colombia,More than 5 years
,Analista de proyectos,,Quality or Process Excellence,Finance & Insurance,,Colombia,1 to 3 years
,Analista,,,Finance & Insurance,,Colombia,3 to 5 years
,Auxiliar Planeación Comercial,,,IT & Telecommunications,,Colombia,More than 5 years
,analista de desarrollo de productividad,,,Finance & Insurance,,Colombia,1 to 3 years
,Analista Planeacion Comercial,,Audit & Risk Management,Finance & Insurance,,Colombia,More than 5 years
,Desarrollador Backend,,,Finance & Insurance,,Colombia,1 to 3 years
,lider de un equipo comercial de vehiculos ,,Corporate or Executive Management,Finance & Insurance,,Colombia,More than 5 years
,Product owner de marketing digital,,Production,Finance & Insurance,,Colombia,More than 5 years
,Analista riesgo de crédito,,,Finance & Insurance,,Colombia,Less than 1 year
,Apoyo Comercial,,,IT & Telecommunications,,Colombia,More than 5 years
,Scrum Master y Lider Tecnico,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,Analista Senior de corresponsales,,Audit & Risk Management,Finance & Insurance,,Colombia,3 to 5 years
,Product Owner,,Customer Service,Finance & Insurance,,Colombia,More than 5 years
,Coordinadora de Desarrollo TI,,Facilities & Real Estate,Finance & Insurance,,Colombia,1 to 3 years
,ANALISTA DE SELECCIÓN Y DESARROLLO,,Product Management,Finance & Insurance,,Colombia,Less than 1 year
,Coordinador,,Quality or Process Excellence,Finance & Insurance,,Colombia,More than 5 years
,Director de area,,,Finance & Insurance,,Colombia,More than 5 years
,Agile Coach,,,Finance & Insurance,,Colombia,More than 5 years
,Ingeniera de Datos,,,Finance & Insurance,,Colombia,More than 5 years
,Analista de procesos de Crédito,,,Finance & Insurance,,Colombia,1 to 3 years
,Coordinadora digital y diseñadora UX,,,Finance & Insurance,,Colombia,More than 5 years
,Especialista cash management ,,,Finance & Insurance,,Colombia,More than 5 years
,Scrum Master,,Facilities & Real Estate,IT & Telecommunications,,Colombia,More than 5 years
,Analista Senior de Sostenibilidad ,,,Finance & Insurance,,Colombia,3 to 5 years
,Analista Senior Opportunity Manager,,,Finance & Insurance,,Colombia,3 to 5 years
,DIRECTOR DE PROYECTOS,,,Finance & Insurance,,Colombia,More than 5 years
,Analista de experiencia del cliente - digital,,,Finance & Insurance,,Colombia,More than 5 years
,Analista area de corresponsales,,,IT & Telecommunications,,Colombia,More than 5 years
,Analista Senior de la Gerencia de Operaciones,,,Finance & Insurance,,Colombia,More than 5 years
,Analista de calidad de datos,,,Finance & Insurance,,Colombia,1 to 3 years
,Analista junio de tecnologia - Developer,,Facilities & Real Estate,Finance & Insurance,,Colombia,Less than 1 year
,Coordinador de Desarrollo TI,,Facilities & Real Estate,Finance & Insurance,,Colombia,1 to 3 years
,Analista Funcional,,,Finance & Insurance,,Colombia,More than 5 years
,Analista funcional,,,Finance & Insurance,,Colombia,3 to 5 years
,Analista Funcional,,,Finance & Insurance,,Colombia,3 to 5 years
,,,,Finance & Insurance,,,
,Coordinador de Proyectos,,,Finance & Insurance,,Colombia,More than 5 years
Middle Management,Gerente de innovacion,I lead an innovation department,Sales,Finance & Insurance,,El Salvador,More than 5 years
,Coordinador de Servicio Oficinas,,Research & Development (R&D),IT & Telecommunications,,Colombia,More than 5 years
,Coordinador,,Facilities & Real Estate,Finance & Insurance,,Colombia,3 to 5 years
,"Soy Analista Sénior de Productos Banca Empresarial, y mi rol es estructurar servicios especiales para suplir las necesidades de los clientes de las bancas empresarial, gobierno y corporativa, las cuales no logran ser cubiertas con el portafolio estándar del banco.",,,Finance & Insurance,,Colombia,More than 5 years
,Auxiliar UCC,,,Finance & Insurance,,Colombia,1 to 3 years
Senior Management,Consultor,Innovation is not part of my job,Audit & Risk Management,IT & Telecommunications,,Mexico,More than 5 years
,Analista Senior de Seleccion y Desarrollo,,Product Management,Finance & Insurance,,Colombia,3 to 5 years
,Gestor de Bodega activos leasing ,,,Finance & Insurance,,Colombia,3 to 5 years
,Coordinador de soporte,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,Coordinador Desarrollo ,,,Finance & Insurance,,Colombia,More than 5 years
,ESPECIALISTA CASH MANAGEMENT,,,Finance & Insurance,,Colombia,More than 5 years
,Coordinador Funcional,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,Auxiliar Administrativo red de oficinas,,,Finance & Insurance,,Colombia,More than 5 years
,Analista profesional unidad de leasing,,Compliance & Legal,Finance & Insurance,,Colombia,More than 5 years
,Analista de negocio,,,Finance & Insurance,,Colombia,1 to 3 years
,COORDINADOR DE GESTION AVANZADA,,,Finance & Insurance,,Colombia,More than 5 years
,Analista de Procesos,,,IT & Telecommunications,,Colombia,More than 5 years
,GESTOR DE COBRANZA,,,IT & Telecommunications,,Colombia,More than 5 years
,Táctico,,Marketing & Communications,Finance & Insurance,,Colombia,More than 5 years
,DIRECTOR DE CRÉDITO EMPRESARIAL,,,Finance & Insurance,,Colombia,More than 5 years
,,,Strategy,Finance & Insurance,,Colombia,More than 5 years
,,,Production,IT & Telecommunications,,Colombia,Less than 1 year
,,,Production,Finance & Insurance,,Colombia,More than 5 years
,,,Strategy,Finance & Insurance,,Colombia,Less than 1 year
,,,Strategy,Finance & Insurance,,Colombia,3 to 5 years
,,,Strategy,Finance & Insurance,,Colombia,More than 5 years
,,,Strategy,Finance & Insurance,,Colombia,More than 5 years
,,,Strategy,Finance & Insurance,,Colombia,More than 5 years
,,,Quality or Process Excellence,Finance & Insurance,,Colombia,1 to 3 years
,,,Project or Program Management,Finance & Insurance,,Colombia,More than 5 years
,,,Project or Program Management,Finance & Insurance,,Colombia,Less than 1 year
,,,Project or Program Management,Finance & Insurance,,Colombia,3 to 5 years
,,,Project or Program Management,Finance & Insurance,,Colombia,More than 5 years
,,,Human Resources (HR),Finance & Insurance,,Colombia,More than 5 years
,,,,Finance & Insurance,,Colombia,More than 5 years
,,,,Finance & Insurance,,Colombia,1 to 3 years
,,,,Finance & Insurance,,Colombia,More than 5 years
,,,Facilities & Real Estate,Finance & Insurance,,Colombia,Less than 1 year
,,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,,,Product Management,Finance & Insurance,,Colombia,3 to 5 years
,,,Audit & Risk Management,Finance & Insurance,,Colombia,More than 5 years
,,,Production,Finance & Insurance,,Colombia,More than 5 years
,,,,Finance & Insurance,,Colombia,More than 5 years
,,,Facilities & Real Estate,Finance & Insurance,,Colombia,1 to 3 years
,,,,Finance & Insurance,,Colombia,More than 5 years
,Analista de Procesos,,,Finance & Insurance,,Colombia,1 to 3 years
,,,Strategy,Finance & Insurance,,Colombia,1 to 3 years
,,,Strategy,Finance & Insurance,,Colombia,More than 5 years
,,,Quality or Process Excellence,Finance & Insurance,,Colombia,More than 5 years
,,,Quality or Process Excellence,Finance & Insurance,,Colombia,More than 5 years
,,,Project or Program Management,Finance & Insurance,,Colombia,More than 5 years
,,,Customer Service,Finance & Insurance,,Colombia,More than 5 years
,,,,Finance & Insurance,,Colombia,More than 5 years
,,,Facilities & Real Estate,IT & Telecommunications,,Colombia,More than 5 years
,Especialista pasarela Gou,,,IT & Telecommunications,,Colombia,More than 5 years
,,,,Finance & Insurance,,Colombia,Less than 1 year
,Director Soporte a ventas Segmento Corporativo e Institucional ,,,Finance & Insurance,,Colombia,More than 5 years
,,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,Analista de Tecnologia,,,Finance & Insurance,,Colombia,3 to 5 years
,Analista Senior de movilidad,,,Finance & Insurance,,Colombia,3 to 5 years
,Analista de Desarrollo,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,Analista Senior ,,,IT & Telecommunications,,Colombia,More than 5 years
,Analista Senior,,Strategy,Finance & Insurance,,Colombia,More than 5 years
,Analista Sénior de Reimaginación de Procesos,,,Finance & Insurance,,Colombia,3 to 5 years
,Analista de Procesos,,,Finance & Insurance,,,1 to 3 years
,Auxiliar de recursos humanos,,Product Management,Finance & Insurance,,Colombia,1 to 3 years
,Gestora del MAC,,,Finance & Insurance,,Colombia,More than 5 years
,Product Owner,,,Finance & Insurance,,Colombia,More than 5 years
,"Analista Profesional, Soporte a Ventas",,,Finance & Insurance,,Colombia,More than 5 years
,,,,,,,
,gestion comercial y operativa del producto de vehiculos en la zona noroccidental ,,Audit & Risk Management,Finance & Insurance,,Colombia,More than 5 years
,Head of Ideas & Innovation,,Compliance & Legal,IT & Telecommunications,,United Arab Emirates,1 to 3 years
,Analista Profesional,,Facilities & Real Estate,Finance & Insurance,,Colombia,1 to 3 years
,Analizar procesos crediticios a empresas clientes del banco.,,,Finance & Insurance,,Colombia,More than 5 years
,Analista de Transformación Corporativa,,Strategy,Finance & Insurance,,Colombia,More than 5 years
,Analista de Productos,,Project or Program Management,Finance & Insurance,,Colombia,More than 5 years
,IT and web developer,,Facilities & Real Estate,Life Science & Healthcare,,United States of America,More than 5 years
,Coordinadora comercial de seguros de movilidad ,,,Finance & Insurance,,Colombia,3 to 5 years
,Especialista,,Audit & Risk Management,Finance & Insurance,,Colombia,More than 5 years
,Analista Funcional,,Facilities & Real Estate,Finance & Insurance,,Colombia,1 to 3 years
,Auxiliar de Servicios Ucc,,,,,,Less than 1 year
,Analista de análisis y presupuesto,,Audit & Risk Management,IT & Telecommunications,,Colombia,Less than 1 year
,Coordinador de desarrollo TI,,Facilities & Real Estate,Finance & Insurance,,Colombia,Less than 1 year
,,,,,,,
,Managing director ,,Compliance & Legal,Professional Services,,Malaysia,More than 5 years
,,,Facilities & Real Estate,,,,
Middle Management,v,I lead innovation projects,Audit & Risk Management,Government,From 10 to 49,United States of America,More than 5 years
,,,,,,,
,,,,,,,
Junior Management,CTO,Innovation is not part of my job,Compliance & Legal,,,,3 to 5 years
,managing director,I lead an innovation department,,,,,Less than 1 year
,Coordinadora,,,IT & Telecommunications,,Colombia,More than 5 years
,,,,,,,
,Auxiliar Operaciones Nacionales,,,Finance & Insurance,,Colombia,Less than 1 year
Middle Management,,I lead an innovation department,Marketing & Communications,,,,Less than 1 year
,,,,,,,
,Product Development Manager,,"Procurement, Supply Chain & Logistics",,,,Less than 1 year
,,,Marketing & Communications,,,,1 to 3 years
,,,,,,,
Middle Management,vp,,Corporate or Executive Management,,,,More than 5 years
Senior Management,,I lead innovation projects,,IT & Telecommunications,250,United States of America,1 to 3 years
,,,,,,,
,,,Facilities & Real Estate,IT & Telecommunications,,Colombia,1 to 3 years
Senior Management,Directora de Investigación,I lead innovation projects,Sales,,,,More than 5 years
,Coordinadora de Desarrollo TI,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
Senior Management,,I lead innovation projects,,,,,
,,,,,,,
,,,,,,,
Senior Management,,I support innovation projects,Information Technology (IT),,,,More than 5 years
Middle Management,Senior Dev,I support innovation projects,Information Technology (IT),Finance & Insurance,250,Canada,1 to 3 years
,,,,,,,
,,,,,,,
Junior Management,,I support innovation projects,Strategy,Other,From 10 to 49,United States of America,Less than 1 year
Middle Management,hello,Innovation is not part of my job,Information Technology (IT),,,United States of America,3 to 5 years
,,,,Finance & Insurance,,Colombia,More than 5 years
Middle Management,consultant,I lead innovation projects,Marketing & Communications,,,,1 to 3 years
Junior Management,Executive Assistant,I support innovation projects,Finance & Administration,Automotive,250,,Less than 1 year
Senior Management,,I lead innovation projects,Research & Development (R&D),Life Science & Healthcare,From 50 to 249,Saudi Arabia,1 to 3 years
Middle Management,,I lead innovation projects,Project or Program Management,Finance & Insurance,250,Canada,1 to 3 years
,,,,,,,
Junior Management,Student,I lead innovation projects,Strategy,Education,From 50 to 249,Philippines,1 to 3 years
Middle Management,Assistant Professor,I support innovation projects,Information Technology (IT),Education,250,India,Less than 1 year
Junior Management,Master Thesis Student,I support innovation projects,Corporate or Executive Management,IT & Telecommunications,250,Germany,Less than 1 year
Senior Management,Director,I lead innovation projects,Strategy,Other,From 1 to 9,Australia,3 to 5 years
Senior Management,Regional Director,I lead innovation projects,Project or Program Management,Professional Services,From 50 to 249,Ghana,More than 5 years
Junior Management,Director of the Innovation Center,I lead an innovation department,Strategy,Education,250,United States of America,More than 5 years
Senior Management,EVP - Centre of Execellence (last position held),I lead innovation projects,Research & Development (R&D),Finance & Insurance,From 50 to 249,,More than 5 years
Junior Management,Eureka Developer,I support innovation projects,Information Technology (IT),Professional Services,From 10 to 49,United States of America,3 to 5 years
Middle Management,Project Manager,I lead innovation projects,Project or Program Management,,,Mexico,Less than 1 year
Senior Management,CEO,I lead an innovation department,Sales,Energy,,Colombia,More than 5 years
Senior Management,Gerente General y CEO ,I support innovation projects,Facilities & Real Estate,Government,,Colombia,3 to 5 years
Junior Management,Docente,I support innovation projects,Sales,Professional Services,,Colombia,More than 5 years
Middle Management,Asistente de innovación ,I support innovation projects,Facilities & Real Estate,,,Colombia,Less than 1 year
Middle Management,DOCENTE,I support innovation projects,Audit & Risk Management,Professional Services,,Colombia,More than 5 years
Middle Management,"Ingeniero de proyectos. Planeador, programador y desarrollador de procedimientos técnicos y ejecución de actividades de construcción y mantenimiento.",I support innovation projects,Quality or Process Excellence,Other,,Colombia,More than 5 years
Middle Management,Docente,I support innovation projects,Sales,Professional Services,,Colombia,1 to 3 years
Junior Management,Estudiante ,Innovation is not part of my job,Audit & Risk Management,Professional Services,,Colombia,1 to 3 years
Junior Management,Analista de Innovación,I support innovation projects,Sales,IT & Telecommunications,,Colombia,Less than 1 year
Senior Management,Emprendedor,I lead innovation projects,Strategy,Finance & Insurance,,Colombia,1 to 3 years
Junior Management,DOCENTE,I support innovation projects,Audit & Risk Management,Professional Services,,Colombia,More than 5 years
Junior Management,Coordinadora de Transferencia de Conocimiento - Docente ,I support innovation projects,Sales,Professional Services,,Colombia,Less than 1 year
Middle Management,COODINADOR DE SOSTENIBILIDAD,I lead innovation projects,Marketing & Communications,Other,,Colombia,Less than 1 year
Junior Management,Analista de innovación,I lead innovation projects,Sales,Other,,Colombia,Less than 1 year
Junior Management,Coordinadora de Innovación,I lead innovation projects,Strategy,Education,,Colombia,1 to 3 years
Senior Management,Director,I lead innovation projects,Strategy,Life Science & Healthcare,,Colombia,More than 5 years
Junior Management,Inter,I support innovation projects,Information Technology (IT),Finance & Insurance,250,Canada,3 to 5 years
Senior Management,CCO,I lead an innovation department,Project or Program Management,Education,From 1 to 9,,1 to 3 years
,Senior advisor,I lead innovation projects,,,,Norway,Less than 1 year
Senior Management,Head of Customer Experience,I lead innovation projects,Corporate or Executive Management,Agriculture,From 1 to 9,Philippines,Less than 1 year
,Global Trade Service Officer,,,Finance & Insurance,,Oman,1 to 3 years
Junior Management,Scientist 1,I lead innovation projects,Research & Development (R&D),Government,250,Philippines,More than 5 years
,,,,,,,
Junior Management,IT,Innovation is not part of my job,Information Technology (IT),,,,
Middle Management,,I support innovation projects,,,,United States of America,Less than 1 year
Middle Management,,I lead innovation projects,,,,United States of America,More than 5 years
Middle Management,,I lead an innovation department,,,,Colombia,More than 5 years
Senior Management,,I lead an innovation department,Information Technology (IT),,,United Arab Emirates,1 to 3 years
,Coordinador,,Finance & Administration,Finance & Insurance,,Colombia,More than 5 years
,,,Customer Service,Finance & Insurance,,Colombia,1 to 3 years
Senior Management,,I support innovation projects,,,,United Arab Emirates,More than 5 years
Middle Management,,I lead innovation projects,,,,Indonesia,More than 5 years
Senior Management,,I lead an innovation department,,,,Mexico,3 to 5 years
Middle Management,,I lead innovation projects,Product Development,,,,
Senior Management,IT Testing,I lead an innovation department,Information Technology (IT),Food & Beverage,From 1 to 9,United States of America,Less than 1 year
Middle Management,IT testing,I support innovation projects,Human Resources (HR),Government,From 10 to 49,United States of America,Less than 1 year
Middle Management,IT Testing,I lead innovation projects,Information Technology (IT),Finance & Insurance,From 10 to 49,United States of America,Less than 1 year
Middle Management,Sales Coordinator,I lead an innovation department,Corporate or Executive Management,Energy,,United Arab Emirates,1 to 3 years
,VP,I lead an innovation department,,Education,,,More than 5 years
,,,,Finance & Insurance,,Brazil,1 to 3 years
,,,,Education,,,
,Innovation Head,I lead an innovation department,,Education,,,Less than 1 year
,,,,,,,More than 5 years
Middle Management,Project Manager,I support innovation projects,Quality or Process Excellence,Engineering & Manufacturing,,Norway,Less than 1 year
,Consultora,,,Life Science & Healthcare,,Mexico,More than 5 years
Senior Management,Presidenta / Consultora Senior,I lead innovation projects,Strategy,Life Science & Healthcare,,Ecuador,1 to 3 years
Middle Management,CEO,I lead an innovation department,Audit & Risk Management,Life Science & Healthcare,,El Salvador,1 to 3 years
Senior Management,gerente general,I support innovation projects,Compliance & Legal,Engineering & Manufacturing,,Peru,More than 5 years
Senior Management,Gerente de Innovacion ,I lead an innovation department,Quality or Process Excellence,IT & Telecommunications,,El Salvador,3 to 5 years
Middle Management,Business Development Executive,I support innovation projects,Production,Professional Services,,Mauritius,More than 5 years
Senior Management,Owner and general manager,I support innovation projects,Finance & Administration,Professional Services,From 1 to 9,Norway,More than 5 years
,,,,,,,
,,,,IT & Telecommunications,,Brazil,Less than 1 year
Junior Management,,I support innovation projects,Production,IT & Telecommunications,,United States of America,Less than 1 year
Senior Management,Director of partnerships,I lead innovation projects,Corporate or Executive Management,Life Science & Healthcare,,United States of America,1 to 3 years
Senior Management,Direccion Comercial,I lead innovation projects,Corporate or Executive Management,Life Science & Healthcare,,Mexico,More than 5 years
Senior Management,CEO,I support innovation projects,Compliance & Legal,Automotive,,Japan,3 to 5 years
,,,Quality or Process Excellence,Life Science & Healthcare,,United States of America,More than 5 years
Junior Management,Quality Assurance Advisor,Innovation is not part of my job,Research & Development (R&D),Finance & Insurance,,United States of America,1 to 3 years
Senior Management,Group HR Director ,I support innovation projects,Product Management,Life Science & Healthcare,,South Africa,1 to 3 years
Middle Management,Advisor/ Research Scientis,I support innovation projects,Sales,Engineering & Manufacturing,,Norway,More than 5 years
,,,Quality or Process Excellence,Life Science & Healthcare,,United States of America,1 to 3 years
,Scrum master,,Quality or Process Excellence,Finance & Insurance,,Colombia,More than 5 years
Senior Management,"Subdirector Nacional de Desarrollo Curricular, apoyo equipos en la innovación curricular",I support innovation projects,Customer Service,Professional Services,,Colombia,More than 5 years
,,,,Government,,,Less than 1 year
,Analista de tecnología,,Facilities & Real Estate,Finance & Insurance,,Colombia,1 to 3 years
Middle Management,Especialista,I lead innovation projects,Strategy,IT & Telecommunications,,Colombia,Less than 1 year
Middle Management,Especialista R&D,,Sales,Consumer Goods,,Colombia,More than 5 years
Senior Management,Gerente,,Compliance & Legal,Professional Services,,Colombia,More than 5 years
Middle Management,Consultor en Auditoria de TI,,Information Technology (IT),Life Science & Healthcare,,Peru,Less than 1 year
,Gestor de Cobranza,,,IT & Telecommunications,,Colombia,More than 5 years
Senior Management,gestionar y administrar,,Compliance & Legal,IT & Telecommunications,,Colombia,More than 5 years
Senior Management,GERENTE COMERCIAL,,Corporate or Executive Management,Life Science & Healthcare,,Colombia,3 to 5 years
Middle Management,Docente - Investigador,,Sales,Professional Services,,Colombia,More than 5 years
Middle Management,Gerente,,Audit & Risk Management,Finance & Insurance,,Colombia,More than 5 years
Middle Management,LIDER DE PRACTICAS,,"Procurement, Supply Chain & Logistics",Professional Services,,Colombia,3 to 5 years
Junior Management,Auxiliar de Gestión del Conocimiento,,Product Management,Other,,Colombia,1 to 3 years
Senior Management,"Empresaria Diseñadora, fotografa,  una mujer integral",,"Procurement, Supply Chain & Logistics",Engineering & Manufacturing,,Colombia,More than 5 years
Middle Management,Chief Representative Officer,,Compliance & Legal,IT & Telecommunications,,United Arab Emirates,More than 5 years
Middle Management,Asistente Académico,,Quality or Process Excellence,Professional Services,,Colombia,3 to 5 years
Middle Management,Consejero Técnico,,Customer Service,Life Science & Healthcare,,Colombia,1 to 3 years
,Officer,,,IT & Telecommunications,,Oman,3 to 5 years
Middle Management,Asesora en Orientación Productiva,,Quality or Process Excellence,,,,1 to 3 years
Middle Management,Consultor de Relacionamiento,,Quality or Process Excellence,Life Science & Healthcare,,Costa Rica,1 to 3 years
Middle Management,EGS de innovación ,,Quality or Process Excellence,IT & Telecommunications,,Colombia,1 to 3 years
Middle Management,EGS innovación,,Strategy,IT & Telecommunications,,Colombia,Less than 1 year
Middle Management,DISEÑO E INTERVENTORIA,,Customer Service,,,,More than 5 years
,Manager,,,Finance & Insurance,,Oman,3 to 5 years
,Lead IT service Desk ,,Facilities & Real Estate,Finance & Insurance,,Oman,More than 5 years
,officer -application Support ,,Facilities & Real Estate,Finance & Insurance,,Oman,1 to 3 years
Senior Management,Gerente de innovacion y nuevas creaciones,,Sales,IT & Telecommunications,,Colombia,Less than 1 year
Senior Management,socio,,Corporate or Executive Management,Engineering & Manufacturing,,Peru,1 to 3 years
Senior Management,CIOF,,Sales,Engineering & Manufacturing,,Colombia,3 to 5 years
Junior Management,Analyst- business development and planning,,Research & Development (R&D),Finance & Insurance,,Oman,1 to 3 years
,Deputy head of financial reporting and Investor relation officer ,,Audit & Risk Management,Finance & Insurance,,Oman,More than 5 years
,RPA Specialist,,Facilities & Real Estate,Finance & Insurance,,Oman,1 to 3 years
Senior Management,consultant,I lead an innovation department,,Finance & Insurance,,Canada,Less than 1 year
,Coordinadora,,,Finance & Insurance,,Colombia,More than 5 years
Junior Management,,I support innovation projects,,,,,1 to 3 years
Middle Management,Consultor,I lead innovation projects,Sales,Professional Services,,United States of America,1 to 3 years
,Analista senior SAC,,,Finance & Insurance,,Colombia,More than 5 years
Middle Management,,,Corporate or Executive Management,,,,More than 5 years
